ds,y,articles
2018-12-18,0,1
2018-12-19,0,2
2018-12-20,0,2
2018-12-21,0,2
2018-12-22,0,3
2018-12-23,0,5
2018-12-24,1,6
2018-12-25,2,6
2018-12-26,4,7
2018-12-27,3,7
2018-12-28,1,7
2018-12-29,3,9
2018-12-30,1,10
2018-12-31,1,11
2019-01-01,3,12
2019-01-02,2,12
2019-01-03,1,12
2019-01-04,3,13
2019-01-05,2,14
2019-01-06,1,14
2019-01-07,1,14
2019-01-08,3,15
2019-01-09,5,15
2019-01-10,1,15
2019-01-11,3,15
2019-01-12,15,16
2019-01-13,5,17
2019-01-14,14,17
2019-01-15,9,17
2019-01-16,25,17
2019-01-17,6,17
2019-01-18,2,17
2019-01-19,9,18
2019-01-20,209,19
2019-01-21,188,19
2019-01-22,27,19
2019-01-23,18,19
2019-01-24,13,19
2019-01-25,19,19
2019-01-26,18,19
2019-01-27,93,20
2019-01-28,39,20
2019-01-29,16,20
2019-01-30,8,20
2019-01-31,36,21
2019-02-01,67,21
2019-02-02,184,21
2019-02-03,80,21
2019-02-04,40,21
2019-02-05,18,21
2019-02-06,11,21
2019-02-07,27,22
2019-02-08,56,22
2019-02-09,59,22
2019-02-10,22,22
2019-02-11,62,23
2019-02-12,37,23
2019-02-13,22,23
2019-02-14,43,24
2019-02-15,24,24
2019-02-16,154,25
2019-02-17,61,26
2019-02-18,40,26
2019-02-19,19,26
2019-02-20,52,27
2019-02-21,29,27
2019-02-22,18,27
2019-02-23,41,28
2019-02-24,39,29
2019-02-25,24,29
2019-02-26,19,29
2019-02-27,25,29
2019-02-28,20,30
2019-03-01,29,30
2019-03-02,11,30
2019-03-03,15,30
2019-03-04,18,30
2019-03-05,18,30
2019-03-06,18,30
2019-03-07,12,30
2019-03-08,10,30
2019-03-09,9,30
2019-03-10,8,30
2019-03-11,9,30
2019-03-12,35,31
2019-03-13,30,31
2019-03-14,24,31
2019-03-15,23,31
2019-03-16,31,32
2019-03-17,26,32
2019-03-18,13,32
2019-03-19,19,32
2019-03-20,10,32
2019-03-21,24,33
2019-03-22,17,33
2019-03-23,31,34
2019-03-24,33,34
2019-03-25,27,34
2019-03-26,24,34
2019-03-27,14,34
2019-03-28,31,34
2019-03-29,26,35
2019-03-30,69,37
2019-03-31,164,37
2019-04-01,60,37
2019-04-02,26,37
2019-04-03,29,37
2019-04-04,35,37
2019-04-05,28,37
2019-04-06,15,37
2019-04-07,17,37
2019-04-08,41,37
2019-04-09,29,37
2019-04-10,36,37
2019-04-11,29,37
2019-04-12,21,37
2019-04-13,18,37
2019-04-14,27,37
2019-04-15,43,38
2019-04-16,28,38
2019-04-17,31,38
2019-04-18,26,38
2019-04-19,37,38
2019-04-20,10,38
2019-04-21,48,39
2019-04-22,32,39
2019-04-23,40,39
2019-04-24,39,39
2019-04-25,51,39
2019-04-26,62,39
2019-04-27,24,39
2019-04-28,52,39
2019-04-29,44,39
2019-04-30,23,39
2019-05-01,54,40
2019-05-02,43,40
2019-05-03,34,40
2019-05-04,28,40
2019-05-05,50,41
2019-05-06,51,41
2019-05-07,70,41
2019-05-08,60,41
2019-05-09,69,41
2019-05-10,91,42
2019-05-11,132,43
2019-05-12,77,43
2019-05-13,83,43
2019-05-14,69,43
2019-05-15,64,43
2019-05-16,62,43
2019-05-17,55,43
2019-05-18,61,44
2019-05-19,72,44
2019-05-20,89,44
2019-05-21,85,44
2019-05-22,91,44
2019-05-23,74,44
2019-05-24,72,44
2019-05-25,57,44
2019-05-26,89,45
2019-05-27,122,45
2019-05-28,87,45
2019-05-29,79,45
2019-05-30,74,45
2019-05-31,83,45
2019-06-01,38,45
2019-06-02,97,46
2019-06-03,99,46
2019-06-04,118,46
2019-06-05,105,46
2019-06-06,98,46
2019-06-07,69,46
2019-06-08,63,47
2019-06-09,80,47
2019-06-10,113,47
2019-06-11,110,47
2019-06-12,109,47
2019-06-13,109,47
2019-06-14,104,48
2019-06-15,71,48
2019-06-16,92,48
2019-06-17,109,48
2019-06-18,97,48
2019-06-19,125,48
2019-06-20,117,48
2019-06-21,107,48
2019-06-22,74,48
2019-06-23,65,48
2019-06-24,113,48
2019-06-25,122,48
2019-06-26,104,48
2019-06-27,127,48
2019-06-28,97,48
2019-06-29,75,49
2019-06-30,69,49
2019-07-01,117,49
2019-07-02,109,49
2019-07-03,155,50
2019-07-04,156,50
2019-07-05,115,50
2019-07-06,68,50
2019-07-07,138,51
2019-07-08,298,51
2019-07-09,169,51
2019-07-10,155,51
2019-07-11,172,51
2019-07-12,145,51
2019-07-13,89,52
2019-07-14,91,52
2019-07-15,110,52
2019-07-16,160,52
