holiday,ds,upper_window,lower_window
syukujitsu,2018-12-24T00:00:00Z,0,0
syukujitsu,2019-01-01T00:00:00Z,0,0
syukujitsu,2019-01-14T00:00:00Z,0,0
syukujitsu,2019-02-11T00:00:00Z,0,0
syukujitsu,2019-03-21T00:00:00Z,0,0
syukujitsu,2019-04-29T00:00:00Z,0,0
syukujitsu,2019-04-30T00:00:00Z,0,0
syukujitsu,2019-05-01T00:00:00Z,0,0
syukujitsu,2019-05-02T00:00:00Z,0,0
syukujitsu,2019-05-03T00:00:00Z,0,0
syukujitsu,2019-05-04T00:00:00Z,0,0
syukujitsu,2019-05-06T00:00:00Z,0,0
syukujitsu,2019-07-15T00:00:00Z,0,0
syukujitsu,2019-08-12T00:00:00Z,0,0
